station1,station2,id1,id2,order
Canada Water (je),Canary Wharf (je),37.1,38.1,318
Canary Wharf (je),North Greenwich (je),38.1,160.1,317
North Greenwich (je),Canning Town (je),160.1,39.1,316
Canning Town (je),West Ham (je),39.1,256.3,315
West Ham (je),West Ham,256.3,256,314
West Ham,West Ham (dhe),256,256.1,313
West Ham (dhe),Plaistow (dhe),256.1,182.1,312
Plaistow (dhe),Upton Park (dhe),182.1,241.1,311
Upton Park (dhe),East Ham (dhe),241.1,67.1,310
East Ham (dhe),Barking (dhe),67.1,14.1,309
Barking (dhe),Upney (de),14.1,240.1,308
Upney (de),Becontree (de),240.1,19.1,307
Becontree (de),Dagenham Heathway (de),19.1,59.1,306
Dagenham Heathway (de),Dagenham East (de),59.1,58.1,305
Dagenham East (de),Elm Park (de),58.1,74.1,304
Elm Park (de),Hornchurch (de),74.1,116.1,303
Hornchurch (de),Upminster Bridge (de),116.1,239.1,302
Upminster Bridge (de),Upminster (de),239.1,238.1,301
Upminster (de),Upminster,238.1,238,300
Upminster,Upminster (dw),238,238.2,299
Upminster (dw),Upminster Bridge (dw),238.2,239.2,298
Upminster Bridge (dw),Hornchurch (dw),239.2,116.2,297
Hornchurch (dw),Elm Park (dw),116.2,74.2,296
Elm Park (dw),Dagenham East (dw),74.2,58.2,295
Dagenham East (dw),Dagenham Heathway (dw),58.2,59.2,294
Dagenham Heathway (dw),Becontree (dw),59.2,19.2,293
Becontree (dw),Upney (dw),19.2,240.2,292
Upney (dw),Barking (dhw),240.2,14.2,291
Barking (dhw),East Ham (dhw),14.2,67.2,290
East Ham (dhw),Upton Park (dhw),67.2,241.2,289
Upton Park (dhw),Plaistow (dhw),241.2,182.2,288
Plaistow (dhw),West Ham (dhw),182.2,256.2,287
West Ham (dhw),Bromley-by-Bow (dhw),256.2,32.2,286
Bromley-by-Bow (dhw),Bow Road (dhw),32.2,29.2,285
Bow Road (dhw),Mile End (dhw),29.2,148.4,284
Mile End (dhw),Stepney Green (dhw),148.4,220.2,283
Stepney Green (dhw),Whitechapel (dhw),220.2,264.2,282
Whitechapel (dhw),Aldgate East (dhw),264.2,3.2,281
Aldgate East (dhw),Aldgate East,3.2,3,280
Aldgate East,Aldgate,3,2,279
Aldgate,Aldgate (rme),2,2.1,278
Aldgate (rme),Tower Hill (rdw),2.1,234.2,277
Tower Hill (rdw),Monument (rdw),234.2,150.2,276
Monument (rdw),Cannon Street (rdw),150.2,40.2,275
Cannon Street (rdw),Mansion House (rdw),40.2,145.2,274
Mansion House (rdw),Blackfriars (rdw),145.2,23.2,273
Blackfriars (rdw),Temple (rdw),23.2,227.2,272
Temple (rdw),Embankment (rdw),227.2,75.6,271
Embankment (rdw),Westminster (rdw),75.6,262.4,270
Westminster (rdw),St Jamess Park (rdw),262.4,215.2,269
St Jamess Park (rdw),Victoria (rdw),215.2,244.2,268
Victoria (rdw),Sloane Square (rdw),244.2,203.2,267
Sloane Square (rdw),Sloane Square,203.2,203,266
