station1,station2,time,dist,line,flag,id1,id2,direction1,direction2,id0,station1_count,2d
Hounslow West (pe),Hounslow Central (pe),150,1460,p,t,119.1,117.1,e,e,119,6,TRUE
Hatton Cross (pe),Hounslow West (pe),225,2910,p,t,103.1,119.1,e,e,103,7,FALSE
Heathrow Terminal 4 (pe),Heathrow Terminals 2 & 3 (pe),315,4310,p,t,104.1,106.1,e,e,104,3,FALSE
Heathrow Terminals 2 & 3 (pe),Hatton Cross (pe),180,2160,p,t,106.1,103.1,e,e,106,6,TRUE
Heathrow Terminal 5 (pe),Heathrow Terminals 2 & 3 (pe),210,2480,p,t,105.1,106.1,e,e,105,3,FALSE
Ealing Common (pe),Acton Town (pe),150,1030,p,t,63.3,1.3,e,e,63,12,FALSE
North Ealing (pe),Ealing Common (pe),120,950,p,t,159.1,63.3,e,e,159,6,TRUE
Park Royal (pe),North Ealing (pe),150,1060,p,t,176.1,159.1,e,e,176,8,FALSE
Alperton (pe),Park Royal (pe),165,1980,p,t,4.1,176.1,e,e,4,6,TRUE
Sudbury Town (pe),Alperton (pe),150,1580,p,t,225.1,4.1,e,e,225,6,TRUE
Sudbury Hill (pe),Sudbury Town (pe),150,1660,p,t,224.1,225.1,e,e,224,6,TRUE
South Harrow (pe),Sudbury Hill (pe),135,1370,p,t,206.1,224.1,e,e,206,6,TRUE
Rayners Lane (mps),South Harrow (pe),180,1900,p,t,189.2,206.1,s,e,189,8,FALSE
Walthamstow Central (vs),Blackhorse Road (vs),125,1450,v,t,245.2,24.2,s,s,245,4,FALSE
Blackhorse Road (vs),Tottenham Hale (vs),115,1370,v,t,24.2,232.2,s,s,24,6,TRUE
Tottenham Hale (vs),Seven Sisters (vs),110,1050,v,t,232.2,200.2,s,s,232,6,TRUE
Seven Sisters (vs),Finsbury Park (vs),200,3150,v,t,200.2,83.4,s,s,200,6,TRUE
Finsbury Park (vs),Highbury & Islington (vs),140,1930,v,t,83.4,110.1,s,s,83,12,FALSE
Highbury & Islington (vs),Kings Cross St Pancras (vs),175,2450,v,t,110.1,130.8,s,s,110,6,TRUE
Kings Cross St Pancras (vs),Euston (vs),90,740,v,t,130.8,77.6,s,s,130,24,FALSE
Euston (vs),Warren Street (vs),90,760,v,t,77.6,247.4,s,s,77,20,FALSE
Warren Street (vs),Oxford Circus (vs),95,900,v,t,247.4,173.6,s,s,247,12,FALSE
Oxford Circus (vs),Green Park (vs),115,1140,v,t,173.6,92.6,s,s,173,18,FALSE
Green Park (vs),Victoria (vs),115,1090,v,t,92.6,244.4,s,s,92,18,FALSE
Victoria (vs),Pimlico (vs),110,1190,v,t,244.4,180.2,s,s,244,12,FALSE
Pimlico (vs),Vauxhall (vs),90,800,v,t,180.2,243.2,s,s,180,6,TRUE
Vauxhall (vs),Stockwell (vs),135,1770,v,t,243.2,221.4,s,s,243,6,TRUE
Stockwell (vs),Brixton (vs),105,1460,v,t,221.4,31.2,s,s,221,12,FALSE
Blackhorse Road (vn),Walthamstow Central (vn),105,1450,v,t,24.1,245.1,n,n,24,6,TRUE
Tottenham Hale (vn),Blackhorse Road (vn),110,1370,v,t,232.1,24.1,n,n,232,6,TRUE
Seven Sisters (vn),Tottenham Hale (vn),100,1050,v,t,200.1,232.1,n,n,200,6,TRUE
Finsbury Park (vn),Seven Sisters (vn),205,3150,v,t,83.3,200.1,n,n,83,12,FALSE
Highbury & Islington (vn),Finsbury Park (vn),145,1930,v,t,110.1,83.3,n,n,110,6,TRUE
Kings Cross St Pancras (vn),Highbury & Islington (vn),165,2450,v,t,130.7,110.1,n,n,130,24,FALSE
Euston (vn),Kings Cross St Pancras (vn),90,740,v,t,77.5,130.7,n,n,77,20,FALSE
Warren Street (vn),Euston (vn),90,760,v,t,247.3,77.5,n,n,247,12,FALSE
Oxford Circus (vn),Warren Street (vn),100,900,v,t,173.5,247.3,n,n,173,18,FALSE
Green Park (vn),Oxford Circus (vn),120,1140,v,t,92.5,173.5,n,n,92,18,FALSE
Victoria (vn),Green Park (vn),110,1090,v,t,244.3,92.5,n,n,244,12,FALSE
Pimlico (vn),Victoria (vn),120,1190,v,t,180.1,244.3,n,n,180,6,TRUE
Vauxhall (vn),Pimlico (vn),85,800,v,t,243.1,180.1,n,n,243,6,TRUE
Stockwell (vn),Vauxhall (vn),130,1770,v,t,221.3,243.1,n,n,221,12,FALSE
Brixton (vn),Stockwell (vn),120,1460,v,t,31.1,221.3,n,n,31,3,FALSE
Bank (ws),Waterloo (ws),240,2220,w,t,12.6,249.8,s,s,12,16,FALSE
Waterloo (wn),Bank (wn),240,2220,w,t,249.7,12.5,n,n,249,21,FALSE
Great Portland Street (rhmw),Baker Street (mn),150,970,m,t,91.2,10.5,w,n,91,7,FALSE
Baker Street (mn),Finchley Road (mn),345,3380,m,t,10.5,82.3,n,n,10,24,FALSE
Finchley Road (mn),Wembley Park (mn),420,7240,m,t,82.3,252.3,n,n,82,12,FALSE
Wembley Park (mn),Preston Road (mn),120,1460,m,t,252.3,183.1,n,n,252,12,FALSE
Preston Road (mn),Northwick Park (mn),150,1640,m,t,183.1,165.1,n,n,183,6,TRUE
Northwick Park (mn),Harrow-on-the-Hill (mn),150,1290,m,t,165.1,102.1,n,n,165,8,FALSE
Harrow-on-the-Hill (mn),West Harrow (mn),120,1260,m,t,102.1,258.1,n,n,102,7,FALSE
West Harrow (mn),Rayners Lane (mpn),150,1380,m,t,258.1,189.1,n,n,258,6,TRUE
Rayners Lane (mpn),Eastcote (mpn),150,1720,"m,p",t,189.1,69.1,n,n,189,8,FALSE
Eastcote (mpn),Ruislip Manor (mpn),120,1140,"m,p",t,69.1,198.1,n,n,69,6,TRUE
Ruislip Manor (mpn),Ruislip (mpn),90,720,"m,p",t,198.1,196.1,n,n,198,6,TRUE
Ruislip (mpn),Ickenham (mpn),150,1850,"m,p",t,196.1,121.1,n,n,196,6,TRUE
Ickenham (mpn),Hillingdon (mpn),90,1080,"m,p",t,121.1,112.1,n,n,121,7,FALSE
Hillingdon (mpn),Uxbridge (mpn),240,2030,"m,p",t,112.1,242.1,n,n,112,6,TRUE
Harrow-on-the-Hill (mn),North Harrow (mn),180,2000,m,t,102.1,161.1,n,n,102,7,FALSE
North Harrow (mn),Pinner (mn),120,1480,m,t,161.1,181.1,n,n,161,7,FALSE
Pinner (mn),Northwood Hills (mn),150,2080,m,t,181.1,167.1,n,n,181,6,TRUE
Northwood Hills (mn),Northwood (mn),150,1610,m,t,167.1,166.1,n,n,167,6,TRUE
Northwood (mn),Moor Park (mn),150,2220,m,t,166.1,151.1,n,n,166,6,TRUE
Moor Park (mn),Croxley (mn),240,2940,m,t,151.1,57.1,n,n,151,7,FALSE
Croxley (mn),Watford (mn),210,1900,m,t,57.1,250.1,n,n,57,6,TRUE
Moor Park (mn),Rickmansworth (mn),240,3490,m,t,151.1,193.1,n,n,151,7,FALSE
Rickmansworth (mn),Chorleywood (mn),210,3380,m,t,193.1,49.1,n,n,193,6,TRUE
Chorleywood (mn),Chalfont & Latimer (mn),240,3430,m,t,49.1,42.1,n,n,49,6,TRUE
Chalfont & Latimer (mn),Chesham (mn),510,6200,m,t,42.1,46.1,n,n,42,7,FALSE
Chalfont & Latimer (mn),Amersham (mn),240,3270,m,t,42.1,5.1,n,n,42,7,FALSE
Baker Street (ms),Great Portland Street (rhme),120,970,m,t,10.6,91.1,s,e,10,24,FALSE
Finchley Road (ms),Baker Street (ms),360,3380,m,t,82.4,10.6,s,s,82,12,FALSE
Wembley Park (ms),Finchley Road (ms),420,7240,m,t,252.4,82.4,s,s,252,12,FALSE
Preston Road (ms),Wembley Park (ms),150,1460,m,t,183.2,252.4,s,s,183,6,TRUE
Northwick Park (ms),Preston Road (ms),150,1640,m,t,165.2,183.2,s,s,165,8,FALSE
Harrow-on-the-Hill (ms),Northwick Park (ms),120,1290,m,t,102.2,165.2,s,s,102,7,FALSE
West Harrow (ms),Harrow-on-the-Hill (ms),150,1260,m,t,258.2,102.2,s,s,258,6,TRUE
Rayners Lane (mps),West Harrow (ms),120,1380,m,t,189.2,258.2,s,s,189,8,FALSE
Eastcote (mps),Rayners Lane (mps),180,1720,"m,p",t,69.2,189.2,s,s,69,6,TRUE
Ruislip Manor (mps),Eastcote (mps),120,1140,"m,p",t,198.2,69.2,s,s,198,6,TRUE
Ruislip (mps),Ruislip Manor (mps),90,720,"m,p",t,196.2,198.2,s,s,196,6,TRUE
Ickenham (mps),Ruislip (mps),150,1850,"m,p",t,121.2,196.2,s,s,121,7,FALSE
Hillingdon (mps),Ickenham (mps),120,1080,"m,p",t,112.2,121.2,s,s,112,6,TRUE
Uxbridge (mps),Hillingdon (mps),150,2030,"m,p",t,242.2,112.2,s,s,242,3,FALSE
North Harrow (ms),Harrow-on-the-Hill (ms),180,2000,m,t,161.2,102.2,s,s,161,7,FALSE
Pinner (ms),North Harrow (ms),120,1480,m,t,181.2,161.2,s,s,181,6,TRUE
Northwood Hills (ms),Pinner (ms),150,2080,m,t,167.2,181.2,s,s,167,6,TRUE
Northwood (ms),Northwood Hills (ms),150,1610,m,t,166.2,167.2,s,s,166,6,TRUE
Moor Park (ms),Northwood (ms),150,2220,m,t,151.2,166.2,s,s,151,7,FALSE
Croxley (ms),Moor Park (ms),270,2940,m,t,57.2,151.2,s,s,57,6,TRUE
Watford (ms),Croxley (ms),150,1900,m,t,250.2,57.2,s,s,250,4,FALSE
Rickmansworth (ms),Moor Park (ms),210,3490,m,t,193.2,151.2,s,s,193,6,TRUE
Chorleywood (ms),Rickmansworth (ms),240,3380,m,t,49.2,193.2,s,s,49,6,TRUE
Chalfont & Latimer (ms),Chorleywood (ms),210,3430,m,t,42.2,49.2,s,s,42,7,FALSE
Chesham (ms),Chalfont & Latimer (ms),510,6200,m,t,46.2,42.2,s,s,46,3,FALSE
Amersham (ms),Chalfont & Latimer (ms),210,3270,m,t,5.2,42.2,s,s,5,3,FALSE
Burnt Oak (nn),Edgware (nn),135,1480,n,t,34.1,70.1,n,n,34,6,TRUE
Colindale (nn),Burnt Oak (nn),135,1320,n,t,54.1,34.1,n,n,54,6,TRUE
Hendon Central (nn),Colindale (nn),165,2110,n,t,107.1,54.1,n,n,107,6,TRUE
Brent Cross (nn),Hendon Central (nn),120,1110,n,t,30.1,107.1,n,n,30,6,TRUE
Golders Green (nn),Brent Cross (nn),135,1560,n,t,87.1,30.1,n,n,87,6,TRUE
Hampstead (nn),Golders Green (nn),255,2350,n,t,98.1,87.1,n,n,98,6,TRUE
Belsize Park (nn),Hampstead (nn),135,1210,n,t,20.1,98.1,n,n,20,6,TRUE
Chalk Farm (nn),Belsize Park (nn),105,1110,n,t,43.1,20.1,n,n,43,6,TRUE
Camden Town (nn),Chalk Farm (nn),90,850,n,t,36.1,43.1,n,n,36,8,FALSE
Finchley Central (nn),Mill Hill East (nn),120,1530,n,t,81.1,149.1,n,n,81,7,FALSE
Totteridge & Whetstone (nn),High Barnet (nn),210,2480,n,t,233.1,108.1,n,n,233,6,TRUE
Woodside Park (nn),Totteridge & Whetstone (nn),135,1510,n,t,272.1,233.1,n,n,272,6,TRUE
West Finchley (nn),Woodside Park (nn),105,980,n,t,255.1,272.1,n,n,255,6,TRUE
Finchley Central (nn),West Finchley (nn),135,1140,n,t,81.1,255.1,n,n,81,7,FALSE
East Finchley (nn),Finchley Central (nn),210,2430,n,t,66.1,81.1,n,n,66,6,TRUE
Highgate (nn),East Finchley (nn),150,1640,n,t,111.1,66.1,n,n,111,7,FALSE
Archway (nn),Highgate (nn),135,1710,n,t,7.1,111.1,n,n,7,6,TRUE
Tufnell Park (nn),Archway (nn),105,890,n,t,235.1,7.1,n,n,235,6,TRUE
Kentish Town (nn),Tufnell Park (nn),90,800,n,t,125.1,235.1,n,n,125,6,TRUE
Camden Town (nn),Kentish Town (nn),105,1160,n,t,36.1,125.1,n,n,36,8,FALSE
Mornington Crescent (nn),Camden Town (nn),105,640,n,t,154.1,36.1,n,n,154,6,TRUE
Euston (nn2),Mornington Crescent (nn),120,820,n,t,77.2,154.1,n,n,77,20,FALSE
Warren Street (nn),Euston (nn2),90,580,n,t,247.1,77.2,n,n,247,12,FALSE
Goodge Street (nn),Warren Street (nn),75,470,n,t,89.1,247.1,n,n,89,6,TRUE
Tottenham Court Road (nn),Goodge Street (nn),75,630,n,t,231.3,89.1,n,n,231,12,FALSE
Leicester Square (nn),Tottenham Court Road (nn),75,400,n,t,137.1,231.3,n,n,137,12,FALSE
Charing Cross (nn),Leicester Square (nn),90,470,n,t,45.3,137.1,n,n,45,12,FALSE
Embankment (nn),Charing Cross (nn),60,270,n,t,75.3,45.3,n,n,75,18,FALSE
Waterloo (nn),Embankment (nn),90,710,n,t,249.5,75.3,n,n,249,21,FALSE
Kennington (nn),Waterloo (nn),150,1900,n,t,122.1,249.5,n,n,122,8,FALSE
Nine Elms (nn),Kennington (nn),135,2100,n,t,157.1,122.1,n,n,157,6,TRUE
Battersea Power Station (nn),Nine Elms (nn),135,1040,n,t,17.1,157.1,n,n,17,3,FALSE
Euston (nn1),Camden Town (nn),180,1720,n,t,77.1,36.1,n,n,77,20,FALSE
Kings Cross St Pancras (nn),Euston (nn1),120,610,n,t,130.1,77.1,n,n,130,24,FALSE
Angel (nn),Kings Cross St Pancras (nn),135,1380,n,t,6.1,130.1,n,n,6,6,TRUE
Old Street (nn),Angel (nn),135,1450,n,t,170.1,6.1,n,n,170,6,TRUE
Moorgate (nn),Old Street (nn),90,690,n,t,152.1,170.1,n,n,152,12,FALSE
Bank (nn),Moorgate (nn),120,820,n,t,12.3,152.1,n,n,12,16,FALSE
London Bridge (nn),Bank (nn),105,690,n,t,141.3,12.3,n,n,141,12,FALSE
Borough (nn),London Bridge (nn),105,680,n,t,26.1,141.3,n,n,26,6,TRUE
Elephant & Castle (nn),Borough (nn),120,850,n,t,73.3,26.1,n,n,73,9,FALSE
Kennington (nn),Elephant & Castle (nn),105,900,n,t,122.1,73.3,n,n,122,8,FALSE
Oval (nn),Kennington (nn),105,820,n,t,172.1,122.1,n,n,172,6,TRUE
Stockwell (nn),Oval (nn),120,1370,n,t,221.1,172.1,n,n,221,12,FALSE
Clapham North (nn),Stockwell (nn),105,820,n,t,51.1,221.1,n,n,51,6,TRUE
Clapham Common (nn),Clapham North (nn),105,630,n,t,50.1,51.1,n,n,50,6,TRUE
Clapham South (nn),Clapham Common (nn),105,1260,n,t,52.1,50.1,n,n,52,6,TRUE
Balham (nn),Clapham South (nn),120,1160,n,t,11.1,52.1,n,n,11,6,TRUE
Tooting Bec (nn),Balham (nn),105,980,n,t,229.1,11.1,n,n,229,6,TRUE
Tooting Broadway (nn),Tooting Bec (nn),105,1110,n,t,230.1,229.1,n,n,230,6,TRUE
Colliers Wood (nn),Tooting Broadway (nn),120,1210,n,t,55.1,230.1,n,n,55,6,TRUE
South Wimbledon (nn),Colliers Wood (nn),120,1140,n,t,210.1,55.1,n,n,210,6,TRUE
Morden (nn),South Wimbledon (nn),135,1460,n,t,153.1,210.1,n,n,153,4,FALSE
Edgware (ns),Burnt Oak (ns),165,1480,n,t,70.2,34.2,s,s,70,3,FALSE
Burnt Oak (ns),Colindale (ns),135,1320,n,t,34.2,54.2,s,s,34,6,TRUE
Colindale (ns),Hendon Central (ns),165,2110,n,t,54.2,107.2,s,s,54,6,TRUE
Hendon Central (ns),Brent Cross (ns),120,1110,n,t,107.2,30.2,s,s,107,6,TRUE
Brent Cross (ns),Golders Green (ns),150,1560,n,t,30.2,87.2,s,s,30,6,TRUE
Golders Green (ns),Hampstead (ns),195,2350,n,t,87.2,98.2,s,s,87,6,TRUE
Hampstead (ns),Belsize Park (ns),120,1210,n,t,98.2,20.2,s,s,98,6,TRUE
Belsize Park (ns),Chalk Farm (ns),105,1110,n,t,20.2,43.2,s,s,20,6,TRUE
Chalk Farm (ns),Camden Town (ns),105,850,n,t,43.2,36.2,s,s,43,6,TRUE
Mill Hill East (ns),Finchley Central (ns),165,1530,n,t,149.2,81.2,s,s,149,3,FALSE
High Barnet (ns),Totteridge & Whetstone (ns),225,2480,n,t,108.2,233.2,s,s,108,4,FALSE
Totteridge & Whetstone (ns),Woodside Park (ns),135,1510,n,t,233.2,272.2,s,s,233,6,TRUE
Woodside Park (ns),West Finchley (ns),105,980,n,t,272.2,255.2,s,s,272,6,TRUE
West Finchley (ns),Finchley Central (ns),135,1140,n,t,255.2,81.2,s,s,255,6,TRUE
Finchley Central (ns),East Finchley (ns),195,2430,n,t,81.2,66.2,s,s,81,7,FALSE
East Finchley (ns),Highgate (ns),135,1640,n,t,66.2,111.2,s,s,66,6,TRUE
Highgate (ns),Archway (ns),150,1710,n,t,111.2,7.2,s,s,111,7,FALSE
Archway (ns),Tufnell Park (ns),90,890,n,t,7.2,235.2,s,s,7,6,TRUE
Tufnell Park (ns),Kentish Town (ns),90,800,n,t,235.2,125.2,s,s,235,6,TRUE
Kentish Town (ns),Camden Town (ns),135,1160,n,t,125.2,36.2,s,s,125,6,TRUE
Camden Town (ns),Mornington Crescent (ns),90,640,n,t,36.2,154.2,s,s,36,8,FALSE
Mornington Crescent (ns),Euston (ns2),105,820,n,t,154.2,77.4,s,s,154,6,TRUE
Euston (ns2),Warren Street (ns),75,580,n,t,77.4,247.2,s,s,77,20,FALSE
Warren Street (ns),Goodge Street (ns),75,470,n,t,247.2,89.2,s,s,247,12,FALSE
Goodge Street (ns),Tottenham Court Road (ns),75,630,n,t,89.2,231.4,s,s,89,6,TRUE
Tottenham Court Road (ns),Leicester Square (ns),75,400,n,t,231.4,137.2,s,s,231,12,FALSE
Leicester Square (ns),Charing Cross (ns),75,470,n,t,137.2,45.4,s,s,137,12,FALSE
Charing Cross (ns),Embankment (ns),60,270,n,t,45.4,75.4,s,s,45,12,FALSE
Embankment (ns),Waterloo (ns),90,710,n,t,75.4,249.6,s,s,75,18,FALSE
Waterloo (ns),Kennington (ns),165,1900,n,t,249.6,122.2,s,s,249,21,FALSE
Kennington (ns),Nine Elms (ns),135,2100,n,t,122.2,157.2,s,s,122,8,FALSE
Nine Elms (ns),Battersea Power Station (ns),135,1040,n,t,157.2,17.2,s,s,157,6,TRUE
Camden Town (ns),Euston (ns1),180,1720,n,t,36.2,77.3,s,s,36,8,FALSE
Euston (ns1),Kings Cross St Pancras (ns),90,610,n,t,77.3,130.2,s,s,77,20,FALSE
Kings Cross St Pancras (ns),Angel (ns),135,1380,n,t,130.2,6.2,s,s,130,24,FALSE
Angel (ns),Old Street (ns),150,1450,n,t,6.2,170.2,s,s,6,6,TRUE
Old Street (ns),Moorgate (ns),90,690,n,t,170.2,152.2,s,s,170,6,TRUE
Moorgate (ns),Bank (ns),120,820,n,t,152.2,12.4,s,s,152,12,FALSE
Bank (ns),London Bridge (ns),105,690,n,t,12.4,141.4,s,s,12,16,FALSE
London Bridge (ns),Borough (ns),90,680,n,t,141.4,26.2,s,s,141,12,FALSE
Borough (ns),Elephant & Castle (ns),120,850,n,t,26.2,73.4,s,s,26,6,TRUE
Elephant & Castle (ns),Kennington (ns),105,900,n,t,73.4,122.2,s,s,73,9,FALSE
Kennington (ns),Oval (ns),90,820,n,t,122.2,172.2,s,s,122,8,FALSE
Oval (ns),Stockwell (ns),135,1370,n,t,172.2,221.2,s,s,172,6,TRUE
Stockwell (ns),Clapham North (ns),75,820,n,t,221.2,51.2,s,s,221,12,FALSE
Clapham North (ns),Clapham Common (ns),90,630,n,t,51.2,50.2,s,s,51,6,TRUE
Clapham Common (ns),Clapham South (ns),120,1260,n,t,50.2,52.2,s,s,50,6,TRUE
Clapham South (ns),Balham (ns),120,1160,n,t,52.2,11.2,s,s,52,6,TRUE
Balham (ns),Tooting Bec (ns),105,980,n,t,11.2,229.2,s,s,11,6,TRUE
Tooting Bec (ns),Tooting Broadway (ns),120,1110,n,t,229.2,230.2,s,s,229,6,TRUE
Tooting Broadway (ns),Colliers Wood (ns),120,1210,n,t,230.2,55.2,s,s,230,6,TRUE
Colliers Wood (ns),South Wimbledon (ns),135,1140,n,t,55.2,210.2,s,s,55,6,TRUE
South Wimbledon (ns),Morden (ns),135,1460,n,t,210.2,153.2,s,s,210,6,TRUE
Aldgate East (dhw),Liverpool Street (rhmw),150,920,h,t,3.2,140.4,w,w,3,8,FALSE
Liverpool Street (rhmw),Moorgate (rhmw),90,510,"r,h,m",t,140.4,152.4,w,w,140,13,FALSE
Moorgate (rhmw),Barbican (rhmw),90,630,"r,h,m",t,152.4,13.2,w,w,152,12,FALSE
Barbican (rhmw),Farringdon (rhmw),90,510,"r,h,m",t,13.2,80.2,w,w,13,6,TRUE
Farringdon (rhmw),Kings Cross St Pancras (rhmw),195,1850,"r,h,m",t,80.2,130.6,w,w,80,6,TRUE
Kings Cross St Pancras (rhmw),Euston Square (rhmw),105,850,"r,h,m",t,130.6,78.2,w,w,130,24,FALSE
Euston Square (rhmw),Great Portland Street (rhmw),90,610,"r,h,m",t,78.2,91.2,w,w,78,8,FALSE
Great Portland Street (rhmw),Baker Street (rhw),120,920,"r,h",t,91.2,10.8,w,w,91,7,FALSE
Baker Street (rhw),Edgware Road (RDH) (rhw1),135,720,"r,h",t,10.8,72.4,w,w,10,24,FALSE
Edgware Road (RDH) (rhw1),Paddington (RH) (rhw),135,930,"r,h",t,72.4,175.2,w,w,72,9,FALSE
Paddington (RH) (rhw),Royal Oak (rhw),90,640,"r,h",t,175.2,195.2,w,w,175,7,FALSE
Royal Oak (rhw),Westbourne Park (rhw),120,980,"r,h",t,195.2,261.2,w,w,195,6,TRUE
Westbourne Park (rhw),Ladbroke Grove (rhw),105,790,"r,h",t,261.2,133.2,w,w,261,6,TRUE
Ladbroke Grove (rhw),Latimer Road (rhw),90,660,"r,h",t,133.2,136.2,w,w,133,6,TRUE
Latimer Road (rhw),Wood Lane (rhw),90,540,"r,h",t,136.2,270.2,w,w,136,6,TRUE
Wood Lane (rhw),Shepherds Bush Market (rhw),90,470,"r,h",t,270.2,202.2,w,w,270,6,TRUE
Shepherds Bush Market (rhw),Goldhawk Road (rhw),90,510,"r,h",t,202.2,88.2,w,w,202,6,TRUE
Goldhawk Road (rhw),Hammersmith (RH) (rhw),120,820,"r,h",t,88.2,97.2,w,w,88,6,TRUE
High Street Kensington (rdw),Gloucester Road (rde),135,930,r,t,109.2,86.3,w,e,109,7,FALSE
Tower Hill (rde),Aldgate (rmw),120,500,r,t,234.1,2.2,e,w,234,7,FALSE
Aldgate (rmw),Liverpool Street (rhmw),120,610,"r,m",t,2.2,140.4,w,w,2,7,FALSE
Liverpool Street (rhme),Aldgate East (dhe),135,920,h,t,140.3,3.1,e,e,140,13,FALSE
Moorgate (rhme),Liverpool Street (rhme),105,510,"r,h,m",t,152.3,140.3,e,e,152,12,FALSE
Barbican (rhme),Moorgate (rhme),90,630,"r,h,m",t,13.1,152.3,e,e,13,6,TRUE
Farringdon (rhme),Barbican (rhme),90,510,"r,h,m",t,80.1,13.1,e,e,80,6,TRUE
Kings Cross St Pancras (rhme),Farringdon (rhme),180,1850,"r,h,m",t,130.5,80.1,e,e,130,24,FALSE
Euston Square (rhme),Kings Cross St Pancras (rhme),120,850,"r,h,m",t,78.1,130.5,e,e,78,8,FALSE
Great Portland Street (rhme),Euston Square (rhme),90,610,"r,h,m",t,91.1,78.1,e,e,91,7,FALSE
Baker Street (rhe),Great Portland Street (rhme),105,920,"r,h",t,10.7,91.1,e,e,10,24,FALSE
Edgware Road (RDH) (rhe1),Baker Street (rhe),135,720,"r,h",t,72.3,10.7,e,e,72,9,FALSE
Paddington (RH) (rhe),Edgware Road (RDH) (rhe1),150,930,"r,h",t,175.1,72.3,e,e,175,7,FALSE
Royal Oak (rhe),Paddington (RH) (rhe),120,640,"r,h",t,195.1,175.1,e,e,195,6,TRUE
Westbourne Park (rhe),Royal Oak (rhe),120,980,"r,h",t,261.1,195.1,e,e,261,6,TRUE
Ladbroke Grove (rhe),Westbourne Park (rhe),105,790,"r,h",t,133.1,261.1,e,e,133,6,TRUE
Latimer Road (rhe),Ladbroke Grove (rhe),90,660,"r,h",t,136.1,133.1,e,e,136,6,TRUE
Wood Lane (rhe),Latimer Road (rhe),90,540,"r,h",t,270.1,136.1,e,e,270,6,TRUE
Shepherds Bush Market (rhe),Wood Lane (rhe),75,470,"r,h",t,202.1,270.1,e,e,202,6,TRUE
Goldhawk Road (rhe),Shepherds Bush Market (rhe),90,510,"r,h",t,88.1,202.1,e,e,88,6,TRUE
Hammersmith (RH) (rhe),Goldhawk Road (rhe),135,820,"r,h",t,97.1,88.1,e,e,97,3,FALSE
Gloucester Road (rdw),High Street Kensington (rde),135,930,r,t,86.4,109.1,w,e,86,13,FALSE
Aldgate (rme),Tower Hill (rdw),120,500,r,t,2.1,234.2,e,w,2,7,FALSE
Liverpool Street (rhme),Aldgate (rme),135,610,"r,m",t,140.3,2.1,e,e,140,13,FALSE
Upminster Bridge (de),Upminster (de),150,1240,d,t,239.1,238.1,e,e,239,6,TRUE
Hornchurch (de),Upminster Bridge (de),120,1260,d,t,116.1,239.1,e,e,116,6,TRUE
Elm Park (de),Hornchurch (de),120,1500,d,t,74.1,116.1,e,e,74,6,TRUE
Dagenham East (de),Elm Park (de),180,2370,d,t,58.1,74.1,e,e,58,6,TRUE
Dagenham Heathway (de),Dagenham East (de),150,1350,d,t,59.1,58.1,e,e,59,6,TRUE
Becontree (de),Dagenham Heathway (de),120,1370,d,t,19.1,59.1,e,e,19,6,TRUE
Upney (de),Becontree (de),150,1870,d,t,240.1,19.1,e,e,240,6,TRUE
Barking (dhe),Upney (de),120,1380,d,t,14.1,240.1,e,e,14,6,FALSE
East Ham (dhe),Barking (dhe),210,2290,"d,h",t,67.1,14.1,e,e,67,6,TRUE
Upton Park (dhe),East Ham (dhe),150,1400,"d,h",t,241.1,67.1,e,e,241,6,TRUE
Plaistow (dhe),Upton Park (dhe),120,1290,"d,h",t,182.1,241.1,e,e,182,6,TRUE
West Ham (dhe),Plaistow (dhe),90,760,"d,h",t,256.1,182.1,e,e,256,12,FALSE
Bromley-by-Bow (dhe),West Ham (dhe),150,1370,"d,h",t,32.1,256.1,e,e,32,6,TRUE
Bow Road (dhe),Bromley-by-Bow (dhe),120,1010,"d,h",t,29.1,32.1,e,e,29,6,TRUE
Mile End (dhe),Bow Road (dhe),90,550,"d,h",t,148.3,29.1,e,e,148,12,FALSE
Stepney Green (dhe),Mile End (dhe),120,1050,"d,h",t,220.1,148.3,e,e,220,6,TRUE
Whitechapel (dhe),Stepney Green (dhe),120,1000,"d,h",t,264.1,220.1,e,e,264,6,TRUE
Aldgate East (dhe),Whitechapel (dhe),120,820,"d,h",t,3.1,264.1,e,e,3,8,FALSE
Tower Hill (rde),Aldgate East (dhe),120,800,d,t,234.1,3.1,e,e,234,7,FALSE
Monument (rde),Tower Hill (rde),120,680,"r,d",t,150.1,234.1,e,e,150,7,FALSE
Cannon Street (rde),Monument (rde),90,340,"r,d",t,40.1,150.1,e,e,40,6,TRUE
Mansion House (rde),Cannon Street (rde),75,310,"r,d",t,145.1,40.1,e,e,145,6,TRUE
Blackfriars (rde),Mansion House (rde),120,610,"r,d",t,23.1,145.1,e,e,23,6,TRUE
Temple (rde),Blackfriars (rde),90,760,"r,d",t,227.1,23.1,e,e,227,6,TRUE
Embankment (rde),Temple (rde),90,710,"r,d",t,75.5,227.1,e,e,75,18,FALSE
Westminster (rde),Embankment (rde),60,690,"r,d",t,262.3,75.5,e,e,262,12,FALSE
St Jamess Park (rde),Westminster (rde),105,760,"r,d",t,215.1,262.3,e,e,215,6,TRUE
Victoria (rde),St Jamess Park (rde),90,720,"r,d",t,244.1,215.1,e,e,244,12,FALSE
Sloane Square (rde),Victoria (rde),120,1050,"r,d",t,203.1,244.1,e,e,203,6,TRUE
