id,INT?,station,longitude,latitude,zone,flag,map x,map y
32,TRUE,Bromley-by-Bow,-0.0113,51.524,"2,3",s,8.2828,3.4353
32.1,FALSE,Bromley-by-Bow (dhe),,,,p,,
32.2,FALSE,Bromley-by-Bow (dhw),,,,p,,
33,TRUE,Buckhurst Hill,0.0471,51.6266,5,s,8.4773,1.4239
33.1,FALSE,Buckhurst Hill (ce),,,,p,,
33.2,FALSE,Buckhurst Hill (cw),,,,p,,
34,TRUE,Burnt Oak,-0.2641,51.6028,4,s,4.7152,1.7624
34.1,FALSE,Burnt Oak (nn),,,,p,,
34.2,FALSE,Burnt Oak (ns),,,,p,,
35,TRUE,Caledonian Road,-0.1188,51.5481,2,s,6.4406,2.698
35.1,FALSE,Caledonian Road (pe),,,,p,,
35.2,FALSE,Caledonian Road (pw),,,,p,,
36,TRUE,Camden Town,-0.1426,51.5392,2,s,5.717,2.8517
36.1,FALSE,Camden Town (nn),,,,p,,
36.2,FALSE,Camden Town (ns),,,,p,,
37,TRUE,Canada Water,-0.0502,51.4982,2,s,7.2712,4.6218
37.1,FALSE,Canada Water (je),,,,p,,
37.2,FALSE,Canada Water (jw),,,,p,,
38,TRUE,Canary Wharf,-0.0209,51.5051,2,s,7.8509,4.4896
38.1,FALSE,Canary Wharf (je),,,,p,,
38.2,FALSE,Canary Wharf (jw),,,,p,,
39,TRUE,Canning Town,0.0082,51.5147,"2,3",s,8.4851,3.9877
39.1,FALSE,Canning Town (je),,,,p,,
39.2,FALSE,Canning Town (jw),,,,p,,
40,TRUE,Cannon Street,-0.0904,51.5113,1,s,6.3375,4.1425
40.1,FALSE,Cannon Street (rde),,,,p,,
40.2,FALSE,Cannon Street (rdw),,,,p,,
41,TRUE,Canons Park,-0.2947,51.6078,5,s,4.0344,1.8441
41.1,FALSE,Canons Park (je),,,,p,,
41.2,FALSE,Canons Park (jw),,,,p,,
42,TRUE,Chalfont & Latimer,-0.561,51.6679,8,s,1.9624,1.2568
42.1,FALSE,Chalfont & Latimer (mn),,,,p,,
42.2,FALSE,Chalfont & Latimer (ms),,,,p,,
43,TRUE,Chalk Farm,-0.1538,51.5441,2,s,5.6781,2.7253
43.1,FALSE,Chalk Farm (nn),,,,p,,
43.2,FALSE,Chalk Farm (ns),,,,p,,
44,TRUE,Chancery Lane,-0.1111,51.5185,1,s,5.8843,3.7504
44.1,FALSE,Chancery Lane (ce),,,,p,,
44.2,FALSE,Chancery Lane (cw),,,,p,,
45,TRUE,Charing Cross,-0.1247,51.508,1,s,5.5782,4.2496
45.1,FALSE,Charing Cross (bn),,,,p,,
45.2,FALSE,Charing Cross (bs),,,,p,,
45.3,FALSE,Charing Cross (nn),,,,p,,
45.4,FALSE,Charing Cross (ns),,,,p,,
46,TRUE,Chesham,-0.611,51.7052,9,s,1.3528,0.94781
46.1,FALSE,Chesham (mn),,,,p,,
46.2,FALSE,Chesham (ms),,,,p,,
47,TRUE,Chigwell,0.0755,51.6177,4,s,8.699,1.6807
47.1,FALSE,Chigwell (ce),,,,p,,
47.2,FALSE,Chigwell (cw),,,,p,,
48,TRUE,Chiswick Park,-0.2678,51.4946,3,s,2.8705,4.4968
48.1,FALSE,Chiswick Park (de),,,,p,,
48.2,FALSE,Chiswick Park (dw),,,,p,,
49,TRUE,Chorleywood,-0.5183,51.6543,7,s,2.263,1.3528
49.1,FALSE,Chorleywood (mn),,,,p,,
49.2,FALSE,Chorleywood (ms),,,,p,,
50,TRUE,Clapham Common,-0.1384,51.4618,2,s,5.121,5.9448
50.1,FALSE,Clapham Common (nn),,,,p,,
50.2,FALSE,Clapham Common (ns),,,,p,,
51,TRUE,Clapham North,-0.1299,51.4649,2,s,5.2229,5.8471
51.1,FALSE,Clapham North (nn),,,,p,,
51.2,FALSE,Clapham North (ns),,,,p,,
52,TRUE,Clapham South,-0.148,51.4527,"2,3",s,5.0488,6.0212
52.1,FALSE,Clapham South (nn),,,,p,,
52.2,FALSE,Clapham South (ns),,,,p,,
53,TRUE,Cockfosters,-0.1496,51.6517,5,s,6.9016,1.28
53.1,FALSE,Cockfosters (pe),,,,p,,
53.2,FALSE,Cockfosters (pw),,,,p,,
54,TRUE,Colindale,-0.2502,51.5955,4,s,4.8105,1.8577
54.1,FALSE,Colindale (nn),,,,p,,
54.2,FALSE,Colindale (ns),,,,p,,
55,TRUE,Colliers Wood,-0.1778,51.418,3,s,4.7219,6.3439
55.1,FALSE,Colliers Wood (nn),,,,p,,
55.2,FALSE,Colliers Wood (ns),,,,p,,
56,TRUE,Covent Garden,-0.1243,51.5129,1,s,5.6489,3.8593
56.1,FALSE,Covent Garden (pe),,,,p,,
56.2,FALSE,Covent Garden (pw),,,,p,,
57,TRUE,Croxley,-0.4412,51.647,7,s,2.4802,1.4238
57.1,FALSE,Croxley (mn),,,,p,,
57.2,FALSE,Croxley (ms),,,,p,,
58,TRUE,Dagenham East,0.1655,51.5443,5,s,9.405,2.6555
58.1,FALSE,Dagenham East (de),,,,p,,
58.2,FALSE,Dagenham East (dw),,,,p,,
59,TRUE,Dagenham Heathway,0.1469,51.5417,5,s,9.3098,2.7389
59.1,FALSE,Dagenham Heathway (de),,,,p,,
59.2,FALSE,Dagenham Heathway (dw),,,,p,,
60,TRUE,Debden,0.0838,51.6455,6,s,8.6601,1.2449
60.1,FALSE,Debden (ce),,,,p,,
60.2,FALSE,Debden (cw),,,,p,,
61,TRUE,Dollis Hill,-0.2387,51.552,3,s,4.2134,2.3323
61.1,FALSE,Dollis Hill (je),,,,p,,
61.2,FALSE,Dollis Hill (jw),,,,p,,
62,TRUE,Ealing Broadway,-0.3017,51.5152,3,s,2.5775,3.9363
62.1,FALSE,Ealing Broadway (ce),,,,p,,
62.2,FALSE,Ealing Broadway (cw),,,,p,,
62.3,FALSE,Ealing Broadway (de),,,,p,,
62.4,FALSE,Ealing Broadway (dw),,,,p,,
63,TRUE,Ealing Common,-0.2882,51.5101,3,s,2.7219,4.1996
63.1,FALSE,Ealing Common (de),,,,p,,
63.2,FALSE,Ealing Common (dw),,,,p,,
63.3,FALSE,Ealing Common (pe),,,,p,,
63.4,FALSE,Ealing Common (pw),,,,p,,
64,TRUE,Earls Court,-0.1973,51.492,"1,2",s,4.0977,4.4331
64.1,FALSE,Earls Court (de),,,,p,,
64.2,FALSE,Earls Court (dw),,,,p,,
64.3,FALSE,Earls Court (pe),,,,p,,
64.4,FALSE,Earls Court (pw),,,,p,,
65,TRUE,East Acton,-0.2474,51.5168,2,s,3.414,3.9363
65.1,FALSE,East Acton (ce),,,,p,,
65.2,FALSE,East Acton (cw),,,,p,,
66,TRUE,East Finchley,-0.165,51.5874,3,s,6.0068,1.9336
66.1,FALSE,East Finchley (nn),,,,p,,
66.2,FALSE,East Finchley (ns),,,,p,,
67,TRUE,East Ham,0.0518,51.5394,"3,4",s,8.8832,3.1523
67.1,FALSE,East Ham (dhe),,,,p,,
67.2,FALSE,East Ham (dhw),,,,p,,
68,TRUE,East Putney,-0.2112,51.4586,"2,3",s,4.0977,5.3376
68.1,FALSE,East Putney (de),,,,p,,
68.2,FALSE,East Putney (dw),,,,p,,
69,TRUE,Eastcote,-0.397,51.5765,5,s,2.5261,2.0418
69.1,FALSE,Eastcote (mpn),,,,p,,
69.2,FALSE,Eastcote (mps),,,,p,,
70,TRUE,Edgware,-0.275,51.6137,5,s,4.6063,1.6534
70.1,FALSE,Edgware (nn),,,,p,,
70.2,FALSE,Edgware (ns),,,,p,,
71,TRUE,Edgware Road (B),-0.170278,51.520278,1,s,4.3185,3.2144
71.1,FALSE,Edgware Road (B) (bn),,,,p,,
71.2,FALSE,Edgware Road (B) (bs),,,,p,,
72,TRUE,Edgware Road (RDH),-0.167778,51.52,1,s,4.4713,3.2696
72.1,FALSE,Edgware Road (RDH) (rde2),,,,p,,
72.2,FALSE,Edgware Road (RDH) (rdw2),,,,p,,
72.3,FALSE,Edgware Road (RDH) (rhe1),,,,p,,
72.4,FALSE,Edgware Road (RDH) (rhw1),,,,p,,
73,TRUE,Elephant & Castle,-0.1001,51.4943,"1,2",s,5.7155,5.4182
73.1,FALSE,Elephant & Castle (bn),,,,p,,
73.2,FALSE,Elephant & Castle (bs),,,,p,,
73.3,FALSE,Elephant & Castle (nn),,,,p,,
73.4,FALSE,Elephant & Castle (ns),,,,p,,
74,TRUE,Elm Park,0.1977,51.5496,6,s,9.5126,2.5345
74.1,FALSE,Elm Park (de),,,,p,,
74.2,FALSE,Elm Park (dw),,,,p,,
75,TRUE,Embankment,-0.1223,51.5074,1,s,5.5747,4.4818
75.1,FALSE,Embankment (bn),,,,p,,
75.2,FALSE,Embankment (bs),,,,p,,
75.3,FALSE,Embankment (nn),,,,p,,
75.4,FALSE,Embankment (ns),,,,p,,
75.5,FALSE,Embankment (rde),,,,p,,
75.6,FALSE,Embankment (rdw),,,,p,,
76,TRUE,Epping,0.1139,51.6937,6,s,8.8741,1.0271
76.1,FALSE,Epping (ce),,,,p,,
76.2,FALSE,Epping (cw),,,,p,,
77,TRUE,Euston,-0.1337,51.5282,1,s,5.6723,3.089
77.1,FALSE,Euston (nn1),,,,p,,
77.2,FALSE,Euston (nn2),,,,p,,
77.3,FALSE,Euston (ns1),,,,p,,
77.4,FALSE,Euston (ns2),,,,p,,
77.5,FALSE,Euston (vn),,,,p,,
77.6,FALSE,Euston (vs),,,,p,,
78,TRUE,Euston Square,-0.1359,51.526,1,s,5.4797,3.2816
78.1,FALSE,Euston Square (rhme),,,,p,,
78.2,FALSE,Euston Square (rhmw),,,,p,,
79,TRUE,Fairlop,0.0912,51.596,4,s,8.8663,1.9024
79.1,FALSE,Fairlop (ce),,,,p,,
79.2,FALSE,Fairlop (cw),,,,p,,
80,TRUE,Farringdon,-0.1053,51.5203,1,s,6.1352,3.4158
80.1,FALSE,Farringdon (rhme),,,,p,,
80.2,FALSE,Farringdon (rhmw),,,,p,,
81,TRUE,Finchley Central,-0.1932,51.6012,4,s,6.0068,1.8266
81.1,FALSE,Finchley Central (nn),,,,p,,
81.2,FALSE,Finchley Central (ns),,,,p,,
82,TRUE,Finchley Road,-0.1803,51.5472,2,s,4.6802,2.8011
82.1,FALSE,Finchley Road (je),,,,p,,
82.2,FALSE,Finchley Road (jw),,,,p,,
82.3,FALSE,Finchley Road (mn),,,,p,,
82.4,FALSE,Finchley Road (ms),,,,p,,
83,TRUE,Finsbury Park,-0.1065,51.5642,2,s,6.746,2.3964
83.1,FALSE,Finsbury Park (pe),,,,p,,
83.2,FALSE,Finsbury Park (pw),,,,p,,
83.3,FALSE,Finsbury Park (vn),,,,p,,
83.4,FALSE,Finsbury Park (vs),,,,p,,
84,TRUE,Fulham Broadway,-0.195,51.4804,2,s,4.0892,4.9936
84.1,FALSE,Fulham Broadway (de),,,,p,,
84.2,FALSE,Fulham Broadway (dw),,,,p,,
85,TRUE,Gants Hill,0.0663,51.5765,4,s,8.808,2.2253
85.1,FALSE,Gants Hill (ce),,,,p,,
85.2,FALSE,Gants Hill (cw),,,,p,,
86,TRUE,Gloucester Road,-0.1829,51.4945,1,s,4.3822,4.4289
86.1,FALSE,Gloucester Road (pe),,,,p,,
86.2,FALSE,Gloucester Road (pw),,,,p,,
86.3,FALSE,Gloucester Road (rde),,,,p,,
86.4,FALSE,Gloucester Road (rdw),,,,p,,
87,TRUE,Golders Green,-0.1941,51.5724,3,s,5.1509,2.1942
87.1,FALSE,Golders Green (nn),,,,p,,
