,complete_bonus,beta,eta,alpha,tau,num_visited_per_episode,steps_per_episode,last_station,mean_num_visited,median_steps
27,10,10,10,0.1,0.0001,"[272, 272, 272, 272, 272, 272, 272, 272, 272, 272]","[6324, 7062, 4825, 11263, 5087, 4183, 4023, 6359, 7642, 4243]","['Chesham (mn)', 'Amersham (mn)', 'Walthamstow Central (vn)', 'Watford (mn)', 'Heathrow Terminal 4 (pw)', 'East Finchley (ns)', 'Walthamstow Central (vn)', 'Seven Sisters (vs)', 'Mill Hill East (nn)', 'Arsenal (pe)']",272.0,5705.5
32,10,100,10,0.1,0.1,"[272, 272, 272, 272, 272, 272, 272, 272, 272, 272]","[7252, 5250, 15903, 5244, 3801, 6237, 5190, 4051, 11395, 8240]","['Watford (mn)', 'Watford (mn)', 'Chesham (mn)', 'Stanmore (jw)', 'Upminster (de)', 'Upminster (de)', 'Battersea Power Station (ns)', 'Stanmore (jw)', 'Chesham (mn)', 'Stanmore (jw)']",272.0,5743.5
29,10,10,100,0.1,0.0001,"[272, 272, 272, 272, 272, 272, 272, 272, 272, 272]","[5801, 14305, 8385, 9223, 6937, 5253, 5737, 4253, 3778, 4594]","['Amersham (mn)', 'Chesham (mn)', 'Sloane Square (rdw)', 'Mornington Crescent (ns)', 'Barbican (rhme)', 'Stamford Brook (dw)', 'Goodge Street (nn)', 'Edgware Road (RDH) (rde2)', 'West Kensington (dw)', 'Lambeth North (bn)']",272.0,5769.0
14,1,100,10,0.1,0.1,"[272, 272, 272, 272, 272, 272, 272, 272, 272, 272]","[5672, 5683, 12538, 13189, 5963, 5233, 4523, 4514, 5988, 6115]","['Watford (mn)', 'Chesham (mn)', 'Amersham (mn)', 'Chesham (mn)', 'Whitechapel (dhw)', 'Stanmore (jw)', 'Lambeth North (bs)', 'Epping (ce)', 'Epping (ce)', 'Mill Hill East (nn)']",272.0,5823.0
16,1,100,100,0.1,0.1,"[272, 272, 272, 272, 272, 272, 272, 272, 272, 272]","[5339, 15425, 8994, 5501, 5979, 4716, 5876, 7191, 5344, 7468]","['Amersham (mn)', 'Chesham (mn)', 'Highbury & Islington (vn)', 'Regents Park (bn)', 'Goodge Street (nn)', 'West Harrow (ms)', 'West Kensington (de)', 'Heathrow Terminal 4 (pw)', 'Brixton (vs)', 'Covent Garden (pw)']",272.0,5927.5
22,10,1,100,0.1,0.1,"[272, 272, 272, 272, 272, 272, 272, 272, 272, 272]","[6167, 9727, 5678, 6731, 6370, 5858, 4530, 5752, 6968, 5272]","['Chesham (mn)', 'Amersham (mn)', 'Edgware Road (RDH) (rhw1)', 'Watford (mn)', 'Epping (ce)', 'Highbury & Islington (vn)', 'Battersea Power Station (ns)', 'Bayswater (rde)', 'Heathrow Terminal 5 (pw)', 'Amersham (mn)']",272.0,6012.5
67,1000,100,1,0.1,0.0001,"[272, 272, 272, 270, 272, 272, 272, 272, 272, 272]","[5869, 13434, 10575, 19999, 8505, 4981, 6189, 4242, 5869, 3458]","['Chesham (mn)', 'Amersham (mn)', 'Watford (mn)', 'Embankment', 'Upminster (de)', 'Upminster (de)', 'Upminster (de)', 'Upminster (de)', 'Upminster (de)', 'Upminster (de)']",271.8,6029.0
44,100,10,10,0.1,0.1,"[272, 272, 272, 272, 272, 272, 272, 272, 272, 272]","[6057, 5255, 7399, 4633, 5679, 6241, 11522, 11385, 7216, 6234]","['Richmond (dw)', 'Heathrow Terminal 5 (pw)', 'Harrow & Wealdstone (bn)', 'Heathrow Terminal 4 (pw)', 'Harrow & Wealdstone (bn)', 'Richmond (dw)', 'Heathrow Terminal 5 (pw)', 'Harrow & Wealdstone (bn)', 'Eastcote (mps)', 'Seven Sisters (vs)']",272.0,6237.5
6,1,10,1,0.1,0.1,"[272, 272, 272, 272, 272, 272, 272, 272, 272, 272]","[7510, 12719, 14216, 5381, 9057, 6586, 6161, 5651, 5481, 5415]","['Chesham (mn)', 'Amersham (mn)', 'Chesham (mn)', 'Stanmore (jw)', 'Mill Hill East (nn)', 'Burnt Oak (nn)', 'Harrow & Wealdstone (bn)', 'Walthamstow Central (vn)', 'Battersea Power Station (ns)', 'Burnt Oak (nn)']",272.0,6373.5
20,10,1,10,0.1,0.1,"[272, 272, 272, 272, 272, 272, 272, 272, 272, 272]","[8426, 9129, 8076, 4216, 4252, 6327, 13242, 6668, 6331, 5779]","['Amersham (mn)', 'Chesham (mn)', 'Watford (mn)', 'Knightsbridge (pw)', 'High Barnet (nn)', 'Blackhorse Road (vn)', 'Mill Hill East (nn)', 'Harrow & Wealdstone (bn)', 'Richmond (dw)', 'Harrow & Wealdstone (bn)']",272.0,6499.5
